t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.0,0.5141570552417475,0.3477212066428791,0.25373742652605735,-1.4717071405566048e-12,-0.009809999998882143,-3.3055675405404972e-12,-1.4717071405566048e-09,-9.809999998882143,-3.305567540540497e-09,0.0,0.0,1.0,8.164901977869952e-17,1.168988390664416e-15,1.6966239312615156e-15,-6.337723689233892e-10,6.597405774123495e-10,2.572538326275857e-10,8.253318341545957e-10
0.001,0.5141570552417474,0.3477015866428791,0.25373742652605735,-1.2474622733578386e-13,-0.019620000000001383,2.9350925900356814e-15,1.3469609132208209e-09,-9.810000001119239,3.308502633130533e-09,0.0,0.0,1.0,3.983743202852997e-17,1.5888606752217327e-15,1.6465613089852587e-15,8.005852482187937e-10,-7.971873425479634e-10,-5.506229630923606e-10,-9.630937628992182e-10
0.002,0.5141570552417475,0.34767215664287915,0.25373742652605735,1.5458467468638938e-13,-0.02942999999995711,1.7201309257261882e-14,2.7933090202217327e-10,-9.809999999955725,1.4266216667226201e-11,0.0,0.0,1.0,1.6171204599439613e-17,9.631607520332674e-16,1.6506824185639746e-15,-2.0059503103497557e-10,1.7920637264628711e-10,4.046210879873275e-10,1.973844222173773e-10
0.003,0.5141570552417476,0.34763291664287915,0.2537374265260574,5.890944514339073e-14,-0.039240000000012876,4.355905675005161e-14,-9.567522954299865e-11,-9.810000000055767,2.6357747492789727e-11,0.0,0.0,1.0,3.331190838722625e-17,1.0269735152875336e-15,1.6757594246377676e-15,-4.5836772381866487e-11,-1.2508252636211365e-11,-2.0166738500803762e-11,-3.4563942499766133e-11
0.004,0.5141570552417476,0.34758386664287916,0.2537374265260574,-2.8040819171988133e-14,-0.04905000000000417,-1.2302096452070092e-14,-8.695026431537887e-11,-9.809999999991291,-5.58611532021217e-11,0.0,0.0,1.0,5.388367920834468e-17,1.1143986552179827e-15,1.6384575787787349e-15,7.23703545622147e-11,4.340071300053378e-12,-5.4389804800501604e-11,-2.7316168171178088e-11
0.005,0.5141570552417475,0.3475250066428791,0.2537374265260574,-1.1118451023730061e-13,-0.0588600000000342,5.662302886943655e-15,-8.314369106531248e-11,-9.810000000030032,1.7964399339013746e-11,0.0,0.0,1.0,6.599147393233546e-17,1.1365895277015438e-15,1.6370810579959107e-15,5.476218611157525e-11,-6.841070035316196e-11,-5.662723047714372e-11,-8.176283386039866e-13
0.006,0.5141570552417474,0.34745633664287906,0.2537374265260574,-9.469463116561164e-14,-0.06867000000002241,-4.738022977394279e-17,1.648987907168897e-11,-9.80999999998821,-5.709683116717597e-12,0.0,0.0,1.0,9.047034828896954e-17,1.2044422390877191e-15,1.6413396691094443e-15,5.024596779284202e-12,2.374193703703889e-12,6.1650346881400115e-12,-6.413424179698222e-13
0.007,0.5141570552417475,0.3473778566428791,0.2537374265260574,1.0310967904185141e-13,-0.07847999999991483,-9.392848683371411e-15,1.9780431020746307e-10,-9.809999999892419,-9.345468453597468e-12,0.0,0.0,1.0,1.709440678044912e-17,1.1791604456064026e-15,1.6369798155691965e-15,-1.4304163555505615e-10,4.3313078257478755e-11,3.5644711003744464e-11,-2.3947305166914476e-11
0.008,0.5141570552417476,0.34728956664287913,0.25373742652605735,6.147737932377739e-14,-0.08828999999997895,-3.932374353623174e-14,-4.163229971807402e-11,-9.810000000064129,-2.9930894852860324e-11,0.0,0.0,1.0,3.4370154714357e-17,1.1563325402879793e-15,1.6687148214146197e-15,1.6500122224625931e-10,8.428933422856808e-12,-7.1473472277593e-11,7.606651998328888e-11
0.009000000000000001,0.5141570552417476,0.34719146664287914,0.25373742652605735,4.3735755333009685e-14,-0.09809999999997222,-1.8142431245594207e-14,-1.7741623990767703e-11,-9.809999999993268,2.1181312290637533e-11,0.0,0.0,1.0,-9.666067142352507e-19,1.2200029112782223e-15,1.681336513547068e-15,-2.2024718095883576e-11,-1.8924528276796876e-12,1.1455063590045518e-11,-8.605720399147067e-12
